Cell_Area_(cm2),Batch_ID,Sample_ID,Efficiency_(percent),Rsh_(ohm-cm2),Rs_(ohm-cm2),n_at_1_sun,n_at_ 1/10_suns,Jo2_(A/cm2),Isc_(A),Voc_(V),FF_(percent)
245.9, 325BS_745Z6_568PT_1AFR105_2AFR150,SP18F11_01 ,16.330585,53629.67662,4.449868,1.024644,1.279154,1.54797e-08,10.665936,0.662746,56.808619
245.9, 325BS_745Z6_568PT_1AFR105_2AFR150,SP18F11_02,262.414234,38305.175809,-4.320157,,1.119468,1.534789e-08,35.157533,0.666044,275.5652
249.7,Good Cells,Encap_NPT_1649,16.408469,149308.288998,1.96114,1.205369,1.099455,1.03732e-08,8.873144,0.637885,72.388021
249.7,Good Cells,GC_1,16.689779,29280.10342,1.925662,1.09535,1.103634,7.583478e-09,8.816677,0.645976,73.172438
249.7,Good Cells,GC_2,16.61552,17444.769632,1.840179,1.116484,1.106244,8.108405e-09,8.761337,0.644526,73.471996
249.7,Good Cells,GC_3,16.288658,117302.625789,2.197182,1.124856,1.081836,5.49099e-09,8.786678,0.644032,71.874017
249.7,Good Cells,GC_4,17.292548,18247.236711,1.248849,1.11807,1.128083,8.948188e-09,8.749755,0.646988,76.275577
249.7,Good Cells,GC_5,16.7824,116335.523263,1.754886,1.116018,1.075081,4.823827e-09,8.769914,0.645904,73.979165
249.7,Good Cells,GC_6,16.81362,16069.406624,1.770973,1.099913,1.10185,6.734015e-09,8.743903,0.648523,74.037012
249.7,Good Cells,GC_3_a,16.907302,137362.323426,1.659744,1.126089,1.082106,5.497007e-09,8.809559,0.643753,74.442206
240.28,Encapsulated_DOEproject,Encap_NPT_1648,,,,,,,8.879183,,
240.28,Encapsulated_DOEproject,Encap_NPT_1648,16.220766,117549.442818,2.037656,1.219346,1.102793,1.111751e-08,8.88188,0.637216,71.547437
249.64,Encapsulated_DOEproject,Encap_NPT_1648,16.221155,122128.528821,2.118758,1.219494,1.102786,1.067214e-08,8.88188,0.637284,71.541484
249.64,Encapsulated_DOEproject,0908-2-DF-700,16.806916,130398.794679,1.64546,1.125013,1.07369,4.905436e-09,8.720052,0.64416,74.694586
249.64,Encapsulated_DOEproject,0908-1-DF-701,16.81442,44048.371396,1.714378,1.134046,1.091307,6.41034e-09,8.75532,0.646445,74.163878
249.64,Encapsulated_DOEproject,0908-4-DF-702,16.746386,113044.120355,1.743441,1.137534,1.080496,5.644436e-09,8.767068,0.643926,74.053419
249.64,Encapsulated_DOEproject,0908-0-DF-703,16.567873,53726.796654,1.997967,1.103712,1.088575,5.849669e-09,8.74735,0.647703,73.000924
249.64,Encapsulated_DOEproject,0908-4-DF-704,16.817643,120494.302552,1.622987,1.132299,1.083862,5.907227e-09,8.746249,0.642998,74.65308
249.64,Encapsulated_DOEproject,0908-1-DF-705,16.705724,133797.881391,1.795462,1.117655,1.073926,4.82207e-09,8.764638,0.643818,73.906415
249.64,Encapsulated_DOEproject,0908-2-DF-706,16.55183,138176.536494,1.75616,1.178218,1.079877,5.639857e-09,8.730924,0.641137,73.815721
249.64,Encapsulated_DOEproject,Encap_NPT_1649,8.141386,147379.205483,-7.062386,1.205914,1.101972,3.90522e-09,3.447901,0.636951,92.544803
249.64,Encapulsated_DOEproject,Encap_NPT_1649,,,,,,,8.880515,,
249.64,Encapulsated_DOEproject,0908-0-DF-707,16.626001,24430.425352,1.968211,1.098242,1.094065,6.766692e-09,8.759018,0.647888,73.138543
249.64,Encapulsated_DOEproject,0908-4-DF-708,16.663226,24427.302604,1.897631,1.112726,1.113438,7.696728e-09,8.767459,0.64711,73.319851
249.64,Encapulsated_DOEproject,0908-4-DF-708,16.638858,24485.982708,1.892946,1.115345,1.115691,7.944377e-09,8.765609,0.646438,73.30413
249.64,Encapulsated_DOEproject,0908-4-DF-708,16.632255,24482.120318,1.889955,1.10688,1.116026,8.03882e-09,8.764659,0.646243,73.305173
249.64,Encapulsated_DOEproject,0908-1-DF-709,17.007503,27354.436349,1.562778,1.131254,1.089902,6.834905e-09,8.76895,0.646097,74.939259
249.64,Encapulsated_DOEproject,0908-1-DF-709,17.000322,27494.273814,1.539758,1.139269,1.091922,7.124178e-09,8.771472,0.645035,75.009424
249.64,Encapulsated_DOEproject,0908-1-DF-709,16.964612,27494.665194,1.557644,1.132852,1.094169,7.198507e-09,8.766649,0.64487,74.912171
249.64,Encapulsated_DOEproject,1008-6-JT-718,17.047849,27023.188321,1.564461,1.105081,1.08939,6.347498e-09,8.753338,0.647185,75.124485
249.64,Encapulsated_DOEproject,1008-5-JT-719,16.598896,90096.734219,1.860918,1.111418,1.083295,5.935502e-09,8.725837,0.644718,73.657432
249.64,Encapulsated_DOEproject,1008-4-JT-720,16.341402,91177.600796,2.049592,1.104141,1.08687,6.51651e-09,8.714371,0.643771,72.717056
249.64,Encapulsated_DOEproject,0908-2-DF-710,16.80262,26155.478521,1.653487,1.119367,1.089549,6.542216e-09,8.740237,0.645919,74.300218
249.64,Encapulsated_DOEproject,0908-4-DF-711,16.81206,60686.455278,1.770013,1.089678,1.089682,6.16051e-09,8.741377,0.649123,73.965385
249.64,Encapulsated_DOEproject,0908-2-DF-712,16.711658,14529.056912,1.862985,1.107296,1.103645,6.843526e-09,8.751545,0.648219,73.540646
249.64,Encapulsated_DOEproject,0908-4-DF-715,16.726088,87333.276235,1.757477,1.136589,1.083392,5.97176e-09,8.759052,0.644111,74.010066
249.64,Encapulsated_DOEproject,1008-5-JT-716,16.792239,82474.529057,1.728039,1.096345,1.111696,8.370398e-09,8.752792,0.64791,73.919883
249.64,Encapulsated_DOEproject,1008-3-JT-717,16.728862,42379.973528,1.970881,1.084695,1.096708,6.711774e-09,8.78428,0.649578,73.18853
249.64,Encapulsated_DOEproject,1008-3-JT-721,16.746054,36976.376164,1.854233,1.09063,1.105725,7.053229e-09,8.747607,0.648618,73.67983
249.64,Encapulsated_DOEproject,1008-5-JT-722,16.661512,89470.591226,1.757977,1.095796,1.094498,6.669232e-09,8.691033,0.645443,74.148019
249.64,Encapsulated_DOEproject,Encap_NPT_1649,,,,,,,8.879501,,
249.64,Encapsulated_DOEproject,Encap_NPT_1649,16.541702,122422.702176,1.852309,1.215992,1.103456,1.042233e-08,8.881125,0.638084,72.869966
249.64,Encapsulated_DOEproject,1108-2-DF-720,16.545037,22432.760137,1.940646,1.122941,1.104195,7.640239e-09,8.72666,0.6471,73.141276
249.64,Encapsulated_DOEproject,1108-2-DF-723,15.970469,22414.500781,2.435953,1.12221,1.103897,7.600113e-09,8.718499,0.646534,70.72917
249.64,Encapsulated_DOEproject,1108-4-DF-724,16.67026,21350.484705,2.045732,1.10386,1.088321,5.819475e-09,8.795588,0.649796,72.814007
249.64,Encapsulated_DOEproject,1108-1-DF-725,16.355957,99813.316906,2.192253,1.135157,1.089801,5.951583e-09,8.795997,0.645994,71.858249
249.64,Encapsulated_DOEproject,1108-4-DF-726,16.709503,134145.837975,1.772476,1.143066,1.082384,5.962111e-09,8.736994,0.645473,73.966972
249.64,Encapsulated_DOEproject,1108-2-DF-723,16.748506,22426.892486,1.718306,1.124984,1.105595,7.626667e-09,8.709226,0.646922,74.209326
249.64,Encapsulated_DOEproject,0908-3-JT-727,16.822266,14120.673959,1.828698,1.082039,1.095903,5.99885e-09,8.764967,0.648868,73.840111
249.64,Encapsulated_DOEproject,0908-3-JT-728,16.856882,134687.898876,1.746599,1.12792,1.071285,5.019008e-09,8.767038,0.64647,74.248903
249.64,Encapsulated_DOEproject,0908-5-JT-729,16.740788,35044.340261,1.751981,1.108308,1.095154,6.54019e-09,8.73521,0.647421,73.897516
249.64,Encapsulated_DOEproject,0908-4-JT-730,16.739958,29869.57966,1.893684,1.089794,1.102847,6.854313e-09,8.763244,0.648807,73.500088
249.64,Encapsulated_DOEproject,0908-5-JT-731,1.687365,135374.710649,59.766345,-18.644988,1.082362,1e-11,2.923979,0.595302,24.199788
249.64,Encapsulated_DOEproject,0908-5-JT-731,16.578182,141178.925433,1.913207,1.134391,1.088534,6.413984e-09,8.754777,0.645073,73.281967
249.64,Encapsulated_DOEproject,0908-6-JT-732,16.542533,88129.19305,1.977964,1.12553,1.106259,8.428604e-09,8.761844,0.646664,72.885658
249.64,Encapsulated_DOEproject,0908-5-JT-733,16.420467,59953.888654,1.709033,1.123693,1.091193,6.736245e-09,8.700563,0.64724,72.792562
249.64,Encapsulated_DOEproject,0908-6-JT-734,16.743029,66636.583574,1.906119,1.106367,1.092239,6.265961e-09,8.762522,0.649162,73.479424
249.64,Encapsulated_DOEproject,0908-0-JT-735,16.835213,44774.384995,1.793686,1.110717,1.098423,7.115979e-09,8.767569,0.648381,73.930459
249.64,Encapsulated_DOEproject,0908-5-JT-736,16.794649,111313.685178,1.760422,1.122616,1.069296,4.404781e-09,8.747552,0.645881,74.207159
249.64,Encapsulated_DOEproject,0908-5-JT-737,16.849594,12836.149791,1.833918,1.100366,1.093808,5.642638e-09,8.771477,0.649479,73.835605
249.64,Encapsulated_DOEproject,1008-1-DF-738,16.753598,95100.129592,1.81624,1.155594,1.076561,5.267817e-09,8.782451,0.645651,73.757891
